,종목명,현재가,전일비,등락률,액면가,거래량,거래대금,전일거래량,시가,고가,저가,매수호가,매도호가,매수총잔량,매도총잔량,상장주식수,시가총액,매출액,자산총계,부채총계,영업이익,당기순이익,주당순이익,보통주배당금,매출액증가율,영업이익증가율,외국인비율,PER,ROE,ROA,PBR,유보율
31,삼성에스디에스,"168,000","1,000",+0.60%,500,"110,307","18,433","95,167","167,000","168,000","166,000","167,500","168,000","64,655","21,576","77,378","129,995","110,174","91,549","22,958","8,716","4,529","8,327","2,400",2.78,-11.97,11.62,20.18,6.71,4.98,1.89,"17,986.5"
32,엔씨소프트,"587,000","2,000",-0.34%,500,"194,645","113,938","156,629","588,000","592,000","580,000","586,000","587,000","22,978","16,861","21,954","128,870","24,162","40,812","9,365","8,248","5,866","18,630","8,550",42.03,72.19,46.23,31.51,20.83,15.80,3.86,"29,973.4"
33,포스코케미칼,"161,000","2,000",-1.23%,500,"425,564","68,262","895,504","162,000","162,500","158,000","160,500","161,000","63,932","66,019","77,463","124,716","15,662","20,881","10,644",603,297,"1,384",285,5.56,-32.93,7.99,116.33,2.96,1.56,5.37,"3,192.2"
34,대한항공,"32,950",850,+2.65%,"5,000","5,105,025","167,648","2,090,753","32,800","33,300","32,200","32,900","32,950","205,707","906,826","347,821","114,607","76,062","251,901","218,783","1,089","-2,300","1,921",N/A,-38.58,-38.15,11.78,17.15,-7.22,-0.88,1.81,113.6
35,S-Oil,"101,500",0,0.00%,"2,500","284,508","28,906","451,746","102,000","102,500","100,500","101,500","102,000","36,622","153,560","112,583","114,272","168,297","156,905","100,080","-10,991","-7,961","7,777",0,-31.01,-361.65,78.09,13.05,-13.07,-4.97,1.84,"1,841.2"
36,두산중공업,"21,650",200,-0.92%,"5,000","8,138,947","178,413","7,565,043","22,100","22,400","21,500","21,650","21,700","585,384","392,880","516,006","111,715","151,324","255,672","184,607","1,541","-8,384",-421,0,-3.37,-85.69,9.78,-51.43,-37.20,-3.33,2.35,31.8
37,KT&G,"81,100",200,-0.25%,"5,000","428,283","34,750","398,274","81,100","81,300","81,000","81,100","81,200","220,634","73,146","137,292","111,344","53,016","114,684","23,768","14,811","11,716","8,067","4,800",6.82,7.35,37.12,10.05,13.22,10.55,1.12,902.0
38,아모레퍼시픽,"190,000","1,000",-0.52%,500,"402,649","75,500","252,376","190,500","191,000","184,000","189,500","190,000","57,784","29,487","58,493","111,136","44,322","57,019","12,375","1,430",219,"2,155",800,-20.57,-66.57,32.24,88.17,0.78,0.37,2.82,"13,246.9"
39,하이브,"276,500",0,0.00%,500,"223,554","61,451","113,301","276,000","278,000","270,000","276,500","277,000","23,362","17,643","39,051","107,976","7,963","19,244","7,255","1,455",871,"2,811",0,35.60,47.37,16.58,98.36,12.52,7.61,5.64,"6,604.1"
40,삼성화재,"227,500",500,+0.22%,500,"100,861","22,850","114,595","225,500","227,500","224,500","226,500","227,500","23,444","11,004","47,375","107,778","240,449","925,964","763,138","10,444","7,573","21,112","8,800",4.97,20.61,48.84,10.78,4.96,0.85,0.62,"67,009.0"
41,넷마블,"122,000",0,0.00%,100,"217,359","26,236","99,786","121,000","122,500","119,000","122,000","122,500","63,390","35,284","85,954","104,863","24,848","82,234","25,728","2,720","3,380","3,329",767,14.05,34.24,22.62,36.65,6.35,4.82,1.80,"59,559.9"
42,현대중공업,"111,500",500,+0.45%,"5,000","17,280,148","1,944,748",0,"111,000","135,000","91,000","111,500","112,000","203,619","117,509","88,773","98,982","83,120","137,997","84,389",325,"-4,314","-11,067",0,52.33,-74.89,3.93,-10.07,-7.86,-3.12,1.57,"1,168.5"
43,고려아연,"518,000","6,000",-1.15%,"5,000","49,334","25,690","45,001","521,000","527,000","517,000","518,000","519,000","8,000","3,655","18,870","97,747","75,819","84,996","14,126","8,974","5,748","38,327","15,000",13.25,11.43,19.81,13.52,8.37,7.04,1.28,"7,415.2"
44,롯데케미칼,"263,000","2,500",-0.94%,"5,000","187,675","49,609","377,823","267,500","268,500","261,500","263,000","263,500","24,365","12,812","34,275","90,144","122,230","193,865","56,742","3,569","1,753","34,878","3,600",-19.18,-67.77,26.66,7.54,1.22,0.89,0.65,"7,560.8"
45,SK바이오팜,"113,500",500,-0.44%,500,"151,794","17,128","105,664","113,500","114,000","112,000","113,500","114,000","84,118","44,114","78,313","88,886",260,"5,002","1,212","-2,395","-2,474",-756,N/A,-79.01,-202.17,6.56,-150.13,-135.18,-77.40,20.18,862.9
46,한온시스템,"16,150",100,+0.62%,100,"728,379","11,698","671,743","15,900","16,250","15,800","16,100","16,150","139,950","183,070","533,800","86,209","68,728","78,074","55,680","3,158","1,135",545,320,-3.93,-34.73,18.13,29.63,5.09,1.52,3.88,"4,208.4"
47,KT,"32,550",50,+0.15%,"5,000","549,211","17,839","610,516","32,500","32,650","32,300","32,500","32,550","128,762","115,214","261,112","84,992","239,167","336,625","181,111","11,841","7,034","3,503","1,350",-1.75,2.12,44.12,9.29,4.76,2.06,0.54,869.0
48,한화솔루션,"42,100",100,-0.24%,"5,000","902,719","38,033","991,343","42,200","42,700","41,550","42,050","42,100","81,562","100,417","191,278","80,528","91,950","151,373","91,696","5,942","3,017","4,032",N/A,-2.77,29.41,17.68,10.44,5.30,1.96,1.01,636.7
49,우리금융지주,"11,050",50,+0.45%,"5,000","2,159,916","23,720","2,800,947","10,950","11,050","10,850","11,000","11,050","1,182,249","854,357","728,061","80,451","286,376","3,990,810","3,723,552","20,804","15,152","2,861",360,26.11,-25.70,28.29,3.86,5.87,0.40,0.32,640.0
50,기업은행,"10,200",50,+0.49%,"5,000","969,127","9,861","1,031,581","10,200","10,200","10,100","10,150","10,200","815,698","833,900","744,301","75,919","185,746","3,616,162","3,364,738","21,255","15,479","2,381",471,9.66,-4.60,12.88,4.28,6.44,0.46,0.29,501.0
51,한국조선해양,"105,500","13,000",-10.97%,"5,000","1,922,288","207,679","321,544","118,500","119,000","104,000","105,000","105,500","171,783","63,070","70,773","74,666","149,037","252,442","128,230",744,"-8,352","-21,901",0,-1.84,-74.37,18.81,-4.82,-7.42,-3.32,0.71,"5,035.7"
52,LG디스플레이,"20,000",200,+1.01%,"5,000","3,742,151","73,800","3,010,094","19,850","20,050","19,400","19,950","20,000","275,052","403,528","357,816","71,563","242,301","350,715","223,346",-291,-706,"3,325",N/A,3.21,97.86,16.44,6.02,-0.79,-0.20,0.58,546.4
53,현대제철,"51,500",100,-0.19%,"5,000","738,059","37,927","881,067","51,500","52,000","51,000","51,400","51,500","127,158","101,243","133,446","68,725","180,234","348,450","181,520",730,"-4,401","1,810",500,-12.14,-77.96,21.20,28.45,-2.59,-1.27,0.40,"2,224.0"
54,현대글로비스,"178,500",0,0.00%,500,"126,977","22,522","80,019","177,500","178,500","175,500","178,000","178,500","56,040","20,349","37,500","66,938","165,199","108,987","58,323","6,622","6,061","17,982","3,500",-9.58,-24.46,34.64,9.93,12.45,5.77,1.25,"27,309.0"
55,SKC,"175,500","1,000",+0.57%,"5,000","328,224","57,037","378,732","173,000","177,500","169,500","175,000","175,500","22,116","37,091","37,868","66,459","27,022","54,064","34,913","1,908",736,"1,150","1,000",14.45,36.52,13.66,152.61,2.21,1.57,3.36,898.5
56,CJ제일제당,"431,000","1,500",+0.35%,"5,000","42,801","18,428","46,630","429,500","433,000","427,000","430,500","431,000","3,749","6,883","15,054","64,884","242,457","256,119","154,455","13,596","7,864","28,689","4,000",8.47,51.59,24.52,15.02,13.50,3.03,1.20,"6,940.2"
57,LG유플러스,"14,550",0,0.00%,"5,000","1,069,026","15,497","837,346","14,550","14,600","14,350","14,500","14,550","414,772","266,172","436,611","63,527","134,176","183,502","106,990","8,862","4,781","1,326",450,8.36,29.13,33.44,10.97,6.46,2.64,0.84,186.7
58,현대건설,"56,200",500,+0.90%,"5,000","606,975","33,862","820,530","56,000","56,200","55,100","56,100","56,200","52,500","118,936","111,356","62,582","169,709","179,393","91,729","5,490","2,277","1,108",600,-1.78,-36.14,21.45,50.72,1.84,1.26,0.92,"1,134.1"
59,금호석유,"202,000","6,500",-3.12%,"5,000","282,755","57,445","423,938","208,500","208,500","201,000","201,500","202,000","45,506","15,589","30,468","61,545","48,095","50,273","18,780","7,422","5,830","42,225","4,200",-3.06,103.13,20.93,4.78,20.18,12.19,1.36,"1,841.6"
60,강원랜드,"28,350",150,+0.53%,500,"1,000,839","28,355","569,660","28,200","28,750","28,000","28,250","28,350","159,927","199,049","213,940","60,652","4,786","36,416","3,946","-4,316","-2,759",-440,N/A,-68.52,-186.12,19.47,-64.43,-7.92,-6.83,1.78,"3,098.2"
